#{"t_start": 1767449738.823863, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
330.0,3823,8290.634778
440.0,3385,8299.783325
470.0,3267,8308.712334
545.0,3602,8318.686284
310.0,2195,8324.839564
420.0,2426,8331.30322
540.0,4197,8342.659252
410.0,4113,8354.126366
670.0,2849,8362.005399
745.0,4045,8373.129035
520.0,4028,8384.188933
600.0,3875,8395.162792
600.0,4197,8406.784159
475.0,2235,8412.767979
260.0,2523,8419.684213
545.0,3959,8430.632278
525.0,4087,8441.761961
745.0,3073,8450.048167
600.0,4623,8462.91756
570.0,4282,8474.894237
875.0,6539,8492.856075
435.0,2331,8498.978697
800.0,3995,8509.943704
385.0,2994,8518.220563
650.0,3585,8528.084967
515.0,4533,8540.710888
185.0,3051,8549.679754
600.0,4425,8571.940251
485.0,3481,8581.517077
520.0,3473,8591.03092
540.0,3781,8601.435384
700.0,3505,8611.043114
775.0,3590,8621.613746
545.0,3385,8630.74204
485.0,3597,8640.221446
880.0,6515,8657.685309
740.0,4291,8670.447431
450.0,3461,8680.125303
465.0,3561,8689.967755
530.0,3763,8700.75368
1125.0,6051,8718.004421
575.0,3589,8727.682724
575.0,3471,8737.04867
670.0,5861,8752.865191
600.0,4531,8764.993626
600.0,3833,8775.246521
380.0,3339,8784.205097
455.0,3585,8793.930103
575.0,4937,8807.292607
545.0,3799,8817.41244
555.0,4601,8829.824839
525.0,3104,8838.102957
550.0,3910,8857.901865
495.0,3073,8866.172624
490.0,3105,8874.546457
600.0,3957,8885.10604
835.0,5993,8900.953599
355.0,3482,8910.336279
605.0,3735,8920.285921
600.0,3591,8930.391203
605.0,4179,8942.142165
600.0,4173,8953.647124
600.0,3943,8964.164758
450.0,3089,8972.316958
355.0,2490,8978.896393
450.0,3425,8987.974262
965.0,5261,9001.944618
495.0,3455,9011.140146
465.0,3299,9019.882114
545.0,4695,9032.547271
520.0,3254,9041.323887
545.0,3451,9050.500195
410.0,2745,9057.799206
600.0,4069,9068.661175
475.0,3857,9078.937011
340.0,2609,9085.929132
485.0,2879,9093.68363
490.0,3925,9104.130463
540.0,3255,9112.802839
270.0,2283,9118.797979
545.0,3802,9139.429865
800.0,4239,9150.848604
800.0,4089,9161.753781
745.0,4621,9174.078218
380.0,3653,9183.835194
600.0,4059,9194.779493
600.0,4061,9205.572486
525.0,2987,9213.565936
480.0,3135,9221.903551
385.0,2603,9228.82768
600.0,4259,9240.183617
800.0,3765,9250.188841
580.0,3793,9260.234275
575.0,3873,9270.559604
575.0,4151,9281.836559
600.0,3721,9291.621569
545.0,3386,9300.716146
630.0,4353,9312.355468
435.0,3905,9322.792848
800.0,4011,9333.548126
600.0,4391,9345.237064
1165.0,6499,9363.733063
1140.0,4853,9377.119686
595.0,3731,9387.167931
570.0,4711,9399.798261
745.0,2740,9417.84901
605.0,3655,9427.574132
570.0,4889,9440.658796
440.0,3859,9450.887807
600.0,4565,9463.114879
515.0,4097,9474.076537
570.0,3538,9483.526322
500.0,3409,9492.612481
770.0,4105,9503.582589
340.0,2745,9511.413121
545.0,3597,9521.616586
545.0,4347,9533.757939
640.0,3761,9543.983604
545.0,4376,9555.672259
905.0,6855,9574.029458
1300.0,7561,9594.335088
545.0,3801,9605.591326
730.0,3949,9616.569748
660.0,3425,9625.704318
575.0,3921,9637.442842
470.0,3125,9646.091453
385.0,2587,9652.946374
575.0,3825,9663.19018
570.0,4525,9675.605132
515.0,3040,9684.341418
545.0,3563,9705.696134
435.0,3309,9714.757255
600.0,4205,9725.941083
570.0,3486,9735.229676
1000.0,3577,9744.793156
575.0,4165,9755.852478
785.0,3699,9765.765291
545.0,4446,9777.636999
565.0,3429,9786.857418
580.0,4435,9798.701015
545.0,3858,9809.096049
85.0,1567,9813.336066
600.0,4405,9825.107552
1355.0,7561,9845.884576
570.0,4357,9857.797254
690.0,4023,9868.75274
545.0,3293,9877.724739
435.0,4005,9888.481883
580.0,4117,9899.559533
715.0,3945,9910.186075
800.0,3817,9920.486325
525.0,3168,9929.125236
460.0,3171,9937.832076
575.0,3109,9946.250816
490.0,3863,9956.618443
745.0,3696,9966.68675
545.0,3338,9984.635103
880.0,6457,10002.119884
575.0,3699,10012.5125
315.0,3085,10021.368965
495.0,3865,10032.372868
545.0,4317,10044.654845
805.0,4169,10055.944364
740.0,5119,10069.704275
695.0,3881,10080.083032
600.0,3271,10088.822147
690.0,4111,10099.803494
670.0,2829,10107.764412
520.0,3457,10117.889949
515.0,3551,10127.593301
445.0,3409,10136.796693
745.0,4863,10149.899539
725.0,3816,10160.178287
495.0,3205,10168.741011
605.0,4499,10180.865621
600.0,4751,10193.669977
540.0,3105,10202.019856
495.0,3121,10210.449738
605.0,4105,10221.69707
600.0,3565,10231.469816
570.0,3961,10242.529422
575.0,4038,10253.451109
1375.0,5829,10277.873006
600.0,4273,10289.403628
545.0,3054,10297.657516
575.0,3993,10308.366974
1170.0,7099,10327.8309
545.0,3197,10337.01916
520.0,3691,10347.460116
715.0,4074,10358.900707
600.0,3739,10369.2446
550.0,3395,10378.68313
400.0,3085,10386.929158
695.0,4387,10398.906436
600.0,3125,10407.547328
170.0,1829,10412.533677
770.0,3979,10423.600021
575.0,3420,10433.008915
495.0,3293,10441.9651
525.0,3693,10452.08578
575.0,2874,10459.991841
275.0,2035,10465.573782
160.0,1579,10469.888352
600.0,4319,10481.767671
810.0,4207,10493.319871
800.0,4317,10505.466301
605.0,3651,10516.314251
535.0,3755,10526.849091
570.0,4345,10538.939533
455.0,4081,10560.023979
515.0,3649,10570.231516
610.0,3507,10579.92771
570.0,3940,10590.862494
905.0,5967,10606.760578
570.0,4141,10617.731049
1475.0,8109,10640.485479
770.0,3616,10650.827529
550.0,3655,10660.881419
355.0,2263,10667.049233
570.0,3545,10676.681863
805.0,4243,10688.103944
545.0,3587,10697.92502
745.0,3334,10706.932563
515.0,3029,10715.13257
865.0,5433,10730.004774
575.0,3905,10740.568384
600.0,3969,10751.262229
520.0,3413,10760.685997
730.0,5251,10775.675294
775.0,3870,10786.272354
545.0,3259,10794.857331
600.0,4137,10806.356934
750.0,4163,10817.713699
570.0,3005,10825.966408
375.0,2361,10832.474124
570.0,3907,10853.344647
575.0,3145,10861.855089
525.0,3659,10871.981025
600.0,3611,10881.843533
665.0,4495,10894.361401
1050.0,6692,10912.332979
540.0,2846,10919.806921
600.0,3917,10930.465626
600.0,4293,10942.28569
610.0,3555,10952.069751
540.0,3875,10963.836645
550.0,3886,10975.366711
550.0,4527,10988.338857
510.0,2707,10995.82059
570.0,3753,11006.453985
555.0,4161,11017.947034
395.0,2199,11024.146334
305.0,3217,11032.988773
600.0,4123,11044.396154
480.0,2769,11051.93983
575.0,4049,11063.270088
510.0,3393,11072.594619
950.0,6456,11090.663486
545.0,3387,11100.091703
260.0,2379,11106.744805
600.0,4437,11119.010198
745.0,2903,11137.981143
545.0,3486,11147.524462
600.0,4651,11160.313113
545.0,3144,11168.848116
600.0,3891,11179.544144
600.0,3641,11189.645325
140.0,1551,11193.844938
515.0,3329,11203.048628
650.0,3493,11212.637869
370.0,2359,11219.040255
570.0,3401,11228.458778
810.0,6211,11245.593358
535.0,3851,11256.187564
740.0,3686,11266.387568
530.0,4083,11277.499136
775.0,3554,11287.293185
715.0,3219,11296.116938
605.0,3735,11306.673554
540.0,4193,11318.733403
495.0,3553,11328.620751
575.0,3315,11337.723458
775.0,3594,11347.898072
745.0,3166,11356.655077
485.0,2937,11364.817781
725.0,4559,11377.380011
700.0,4011,11388.529153
600.0,3807,11399.117003
770.0,3491,11408.81735
455.0,3115,11428.091688
965.0,6689,11446.518199
545.0,3110,11455.193687
800.0,3609,11465.202026
1580.0,6971,11484.28186
545.0,3315,11493.318055
800.0,3919,11504.1561
575.0,3593,11514.176959
540.0,3675,11524.351356
1065.0,5469,11539.61339
365.0,2241,11545.921632
1030.0,4885,11559.597859
545.0,3294,11568.89947
520.0,3695,11579.235624
310.0,2348,11585.608984
510.0,3357,11594.437851
495.0,3387,11603.387239
545.0,3837,11613.590041
465.0,3579,11623.018754
325.0,3005,11630.910061
550.0,3876,11641.045481
450.0,3351,11650.066172
715.0,5113,11664.307162
765.0,5395,11679.07238
540.0,4256,11690.673951
600.0,4043,11701.6754
