#{"t_start": 1767464148.2993596, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
205.0,1609,1405.028322
310.0,3181,1408.434567
380.0,3282,1411.928691
130.0,1621,1413.6606
355.0,2795,1416.605031
275.0,2427,1419.212981
420.0,3073,1422.474006
270.0,2317,1424.952776
105.0,1139,1426.147562
225.0,2159,1428.434759
540.0,2484,1431.060287
335.0,2722,1433.933197
280.0,2587,1436.65923
295.0,2329,1439.113434
190.0,1925,1441.149925
345.0,2803,1444.143627
280.0,2631,1446.975101
305.0,2645,1449.793809
580.0,2725,1452.712852
270.0,2999,1455.908431
305.0,2371,1458.457263
500.0,4025,1462.74005
690.0,3991,1467.004991
365.0,3727,1470.992554
275.0,2685,1473.850813
445.0,3709,1477.818443
210.0,1979,1479.912671
570.0,3195,1483.298905
290.0,2437,1485.891074
370.0,3389,1495.19702
205.0,1461,1496.743477
310.0,2529,1499.437678
95.0,1707,1501.226501
450.0,3725,1505.130808
185.0,1937,1507.144096
300.0,3487,1510.829872
405.0,3127,1514.140228
180.0,1609,1515.836558
455.0,3389,1519.418586
225.0,1539,1521.037701
400.0,2869,1524.088758
265.0,2269,1526.485744
800.0,5533,1532.370143
410.0,3460,1536.051895
475.0,3803,1540.06557
430.0,3907,1544.1676
545.0,2945,1547.284624
295.0,2479,1549.907904
255.0,2051,1552.110931
170.0,2093,1554.333953
380.0,3537,1558.088668
255.0,2015,1560.198944
220.0,2283,1562.582788
465.0,3459,1566.235211
225.0,2273,1568.644141
320.0,2633,1571.438635
280.0,2719,1574.385185
205.0,2193,1576.717258
440.0,3025,1579.92884
480.0,2957,1583.061567
370.0,3289,1586.651897
335.0,2869,1589.733285
110.0,1463,1591.289443
180.0,1421,1592.776189
255.0,2811,1595.773085
340.0,3649,1599.657332
205.0,1927,1601.712035
395.0,2955,1611.434832
360.0,3695,1615.38433
320.0,2449,1617.971817
135.0,1917,1620.006495
345.0,2851,1623.037654
490.0,3473,1626.724681
330.0,2263,1629.175205
140.0,1539,1630.795126
280.0,2199,1633.118613
345.0,2795,1636.089855
280.0,2581,1638.811096
300.0,2711,1641.684779
580.0,2861,1644.714617
455.0,2987,1647.956818
295.0,2925,1651.066811
330.0,3273,1654.648275
325.0,2627,1657.432235
260.0,2497,1660.115935
375.0,3397,1663.736309
445.0,2965,1666.914455
355.0,2841,1669.963091
200.0,1593,1671.641849
265.0,2295,1674.086888
170.0,1421,1675.584865
140.0,1429,1677.091866
320.0,2785,1680.07186
510.0,3781,1684.069148
565.0,3139,1687.413755
725.0,3621,1691.251197
370.0,3653,1695.091708
325.0,3175,1698.449785
300.0,1927,1700.4668
215.0,2205,1702.787161
450.0,3715,1706.712971
465.0,3233,1710.180936
175.0,2565,1712.914037
315.0,2229,1715.271981
220.0,2147,1723.002326
120.0,1445,1724.574327
35.0,1125,1725.762977
465.0,3453,1729.437734
545.0,3417,1733.040927
520.0,3485,1736.771162
240.0,2305,1739.194345
205.0,2183,1741.506551
